,artist,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,Album_Name
67,Bob Dylan,Call Letter Blues - Take 1,1mz3h0Jg5COqXt9sTqAjFJ,0.498,0.467,9,-11.706,1,0.033,3.97E-06,0.0851,0.839,180.699,282467,4,"More Blood, More Tracks: The Bootleg Series, Vol. 14 (Sampler)"
68,Bob Dylan,Simple Twist of Fate - Take 3A,6fDaBuGwtvwWU8z0glEctO,0.646,0.261,9,-15.689,1,0.0373,5.18E-05,0.0943,0.36,135.002,262440,4,"More Blood, More Tracks: The Bootleg Series, Vol. 14 (Sampler)"
69,Bob Dylan,Idiot Wind - Take 6,6X71GYAOP6lPwKIW8CiaJU,0.446,0.273,4,-13.303,1,0.0428,0,0.152,0.426,85.43,529600,4,"More Blood, More Tracks: The Bootleg Series, Vol. 14 (Sampler)"
70,Bob Dylan,"Blowin' In The Wind - Live at Gerde's Folk City, New York, NY - April 1962",1w7RoB2BwEDb94Y7eFBN5G,0.381,0.292,0,-12.324,1,0.0364,4.65E-06,0.696,0.531,169.859,160920,4,Live 1962-1966 - Rare Performances From The Copyright Collections
71,Bob Dylan,"Corrina, Corrina - Live at Gerde's Folk City, New York, NY - April 1962",6UPeMLHLp0pQe1L3tNIwZk,0.544,0.433,6,-16.233,1,0.0344,0.00305,0.873,0.784,128.553,234133,1,Live 1962-1966 - Rare Performances From The Copyright Collections
72,Bob Dylan,"John Brown - Live at Town Hall, New York, NY - April 1963",2ViUgXvUq3UdqqR19TH9ua,0.625,0.164,9,-17.2,1,0.0663,0,0.701,0.448,113.63,312387,4,Live 1962-1966 - Rare Performances From The Copyright Collections
73,Bob Dylan,"Don't Think Twice, It's All Right - Live at Town Hall, New York, NY - April 1963",3lmtjSu29vP65MkMpAvNvO,0.444,0.0562,3,-20.948,1,0.0494,8.71E-05,0.696,0.417,93.809,215360,1,Live 1962-1966 - Rare Performances From The Copyright Collections
74,Bob Dylan,"Bob Dylan's Dream - Live at Town Hall, New York, NY - April 1963",1gPfK9IWxAPtHAAJV6hiFJ,0.498,0.0892,7,-17.607,1,0.0384,1.30E-05,0.668,0.294,109.158,271653,4,Live 1962-1966 - Rare Performances From The Copyright Collections
75,Bob Dylan,"Seven Curses - Live at Town Hall, New York, NY - April 1963",3BejqGgqdHEqu8iTmYQWIS,0.455,0.0384,4,-20.927,1,0.0412,0.000146,0.695,0.235,102.038,314253,4,Live 1962-1966 - Rare Performances From The Copyright Collections
76,Bob Dylan,"Boots of Spanish Leather - Live at Town Hall, New York, NY - April 1963",0pJzVdghXOaylTzg1UNVXF,0.437,0.0259,9,-24.01,1,0.0389,1.91E-06,0.692,0.428,95.531,284413,4,Live 1962-1966 - Rare Performances From The Copyright Collections
77,Bob Dylan,"Masters of War - Live at Carnegie Hall, New York, NY - October 1963",53nKUonLiYu5Wv76DCxFaM,0.581,0.214,9,-15.562,1,0.0385,7.67E-06,0.755,0.395,91.074,167120,3,Live 1962-1966 - Rare Performances From The Copyright Collections
78,Bob Dylan,"The Lonesome Death of Hattie Carroll - Live at Carnegie Hall, New York, NY - October 1963",765YfwUJLnuBILHEVXPHF4,0.612,0.0915,3,-16.466,1,0.0592,0,0.699,0.346,120.111,314787,5,Live 1962-1966 - Rare Performances From The Copyright Collections
79,Bob Dylan,"When the Ship Comes In - Live at the March on Washington, D.C. - August 1963",536QDiaJkSfELrA7i4RO5q,0.554,0.44,7,-14.232,1,0.0786,1.68E-05,0.829,0.664,115.469,195933,4,Live 1962-1966 - Rare Performances From The Copyright Collections
80,Bob Dylan,"The Times They Are A-Changin' - Live at Royal Festival Hall, London, UK - May 1964",3WLuAuriiY82ESRvpmA8Ms,0.577,0.271,7,-15.535,1,0.0353,0,0.975,0.529,96.392,212493,1,Live 1962-1966 - Rare Performances From The Copyright Collections
81,Bob Dylan,"Girl from the North Country - Live at Royal Festival Hall, London, UK - May 1964",2mxUV1ymyBBWst7B7LZYTV,0.558,0.067,9,-20.909,1,0.0335,0.000387,0.0844,0.207,102.156,226893,4,Live 1962-1966 - Rare Performances From The Copyright Collections
82,Bob Dylan,"Mr. Tambourine Man - Live at Royal Festival Hall, London, UK - May 1964",5uej0Dw7vkwWHRWN7Z6t1n,0.462,0.081,4,-19.604,1,0.0546,0,0.699,0.323,151.11,395667,4,Live 1962-1966 - Rare Performances From The Copyright Collections
83,Bob Dylan,"It Ain't Me, Babe - Live at Royal Festival Hall, London, UK - May 1964",0Q1W4Eq3m9mWJDZp91L8f8,0.424,0.13,7,-16.661,1,0.0326,0,0.548,0.267,98.208,261560,4,Live 1962-1966 - Rare Performances From The Copyright Collections
84,Bob Dylan,"To Ramona - Live at the Newport Folk Festival, Newport, RI - July 1964",0R4vhAXVQRwwWht5eRjMbL,0.456,0.146,2,-14.967,1,0.0463,0,0.915,0.309,153.8,262827,3,Live 1962-1966 - Rare Performances From The Copyright Collections
