year,album,song,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,,duration_ms,time_signature
1964,A Hard Day's Night,I'll Cry Instead,0.643,0.73,7,-6.859,1,0.0347,0.0917,0,0.253,0.96,96.711,https://open.spotify.com/track/01xMiErR26kH1KCif6uEYI,105987,4
1964,Beatles for Sale,I'll Follow the Sun,0.689,0.313,0,-10.073,1,0.0366,0.789,0,0.144,0.625,133.754,https://open.spotify.com/track/45WX2cfbL8bCIqv3rOq1G3,108853,4
1964,Beatles for Sale,im a loser,0.492,0.628,7,-7.813,1,0.0439,0.567,0.00000107,0.267,0.856,89.877,https://open.spotify.com/track/7wC4EW11mBVxDK3xdC7FTf,150027,4
1964,A Hard Day's Night,Im Happy Just To Dance With You,0.658,0.537,6,-7.535,0,0.0307,0.138,0,0.0572,0.887,132.115,https://open.spotify.com/track/0gd50I2gKioJ59C827EdAY,116373,4
1965,Rubber Soul,I'm Looking Through You,0.667,0.498,1,-11.027,1,0.0364,0.00772,0,0.0481,0.774,85.843,https://open.spotify.com/track/5E3BVY66TEDexFutOO5GeS,146387,4
1966,Revolver,I'm Only Sleeping,0.494,0.47,8,-9.599,0,0.0301,0.21,0,0.28,0.698,103.477,https://open.spotify.com/track/2ylCrFiBu98SC0vFfaCent,180320,4
1968,The Beatles (white album),I'm So Tired,0.433,0.483,9,-9.422,1,0.175,0.656,0.0000264,0.539,0.717,68.492,https://open.spotify.com/track/2X9H5BokS1u5O46YpNYNsZ,123493,4
1965,Rubber Soul,In My Life,0.688,0.435,9,-11.359,1,0.0323,0.449,0,0.113,0.435,103.239,https://open.spotify.com/track/3KfbEIOC7YIv90FIfNSZpo,146333,4
1963,With The Beatles,It Won't Be Long,0.472,0.673,4,-8.853,1,0.0318,0.284,0,0.206,0.862,133.117,https://open.spotify.com/track/4ekUX4pWizXXksJe0JfS9U,133387,4
1969,Yellow Submarine,It's All Too Much,0.39,0.781,7,-7.878,1,0.0364,0.000043,0.412,0.1,0.199,113.511,https://open.spotify.com/track/2bQZ9BBhP7vSBiyDz7KXnv,385013,4
1965,Help!,It's Only Love,0.629,0.551,0,-8.281,1,0.0256,0.22,0,0.0432,0.685,113.155,https://open.spotify.com/track/2ue1KRstSKHF8jQkIJZiNC,116480,3
1970,Let It Be,I've Got a Feeling,0.44,0.609,2,-8.824,1,0.0358,0.0715,0,0.582,0.364,165.156,https://open.spotify.com/track/3gwRWIbr5ycEVLIAXrWaw7,217560,4
1965,Help!,I've Just Seen a Face,0.647,0.56,9,-8.809,1,0.0387,0.723,0,0.118,0.913,120.418,https://open.spotify.com/track/788U1Sqej9M6c4iikuDGxO,125040,3
1968,The Beatles (white album),Julia,0.512,0.0953,2,-16.082,1,3.04E-02,0.828,0.000268,0.117,0.193,134.706,https://open.spotify.com/track/5FnpXVgDOk2sLT58qM22Of,176667,4
1964,Beatles for Sale,"Kansas City/Hey, Hey, Hey, Hey",0.588,0.724,7,-6.63,1,3.35E-02,0.614,0.0000892,0.877,0.924,131.36,https://open.spotify.com/track/5xf0zdP4KCfshyVn02D3Ea,158147,4
1970,Let It Be,Let It Be,0.443,0.403,0,-8.339,1,3.22E-02,0.631,0,0.111,0.41,143.462,https://open.spotify.com/track/7iN1s7xHE4ifF5povM6A48,243027,4
1963,With The Beatles,Little Child,0.526,0.858,9,-8.533,1,4.76E-02,0.292,0.001,0.353,0.886,75.596,https://open.spotify.com/track/0KogQrSowDnZoU8GSpaxkj,106400,4
1968,The Beatles (white album),"Long, Long, Long",0.349,0.129,5,-15.883,1,0.0294,0.539,0.405,0.192,0.163,104.837,https://open.spotify.com/track/40d2EcaOOCUjDzzo2YvUWn,186307,3
