,artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,popularity,playlist_name
6,Jubël,Dancing In The Moonlight (feat. NEIMY),Dancing In The Moonlight (feat. NEIMY),4GSDkZt7GcmzBWmsMcpaVO,0.659,0.615,11,-5.865,0,0.0644,0.0,0.187,0.193,119.843,164010,4,76.0,M255 “Chilly Friday in Philly”
7,Champagne Lane,Praying for a Little Rain,Praying for a Little Rain,20z1RaI92IQhdeIr8y8uVi,0.623,0.626,3,-10.003,1,0.059,0.000198,0.103,0.441,99.953,248011,4,40.0,M255 “Chilly Friday in Philly”
8,Lawrence,Breakfast,Do You Wanna Do Nothing with Me?,2M7UdnD0fEaryh8TnCvqFX,0.548,0.611,1,-9.0,0,0.131,0.00247,0.0762,0.725,201.985,251853,4,56.0,M255 “Chilly Friday in Philly”
9,Adele,19,Right As Rain,6oW04c2E7lebl09WHsBAWO,0.842,0.679,1,-5.876,1,0.0846,0.0,0.0891,0.918,137.2,197347,4,53.0,M255 “Chilly Friday in Philly”
10,Sublime,Sublime,Santeria,2hnMS47jN0etwvFPzYk11f,0.682,0.765,1,-5.021,0,0.0395,3.42e-05,0.188,0.567,90.807,182747,4,78.0,M255 “Chilly Friday in Philly”
11,One Direction,FOUR (Deluxe),Steal My Girl,2Bs4jQEGMycglOfWPBqrVG,0.536,0.768,10,-5.948,0,0.0347,0.0,0.114,0.545,77.217,228133,4,81.0,M255 “Chilly Friday in Philly”
12,Dan + Shay,Glad You Exist,Glad You Exist,472vIK1ldetTxRxG3ovaiY,0.748,0.551,11,-6.12,1,0.0349,0.0,0.119,0.66,103.953,144533,4,70.0,M255 “Chilly Friday in Philly”
0,The Parlor Mob,Dark Hour,Setting With The Sun,38cy2yg41sWM96SKMeGUPL,0.605,0.805,7,-7.805,1,0.0467,0.937,0.0846,0.534,128.969,220413,4,38.0,"M255 ""Monday Midnight Drive"""
1,Rich Brian,The Sailor,Drive Safe,6eDfe957aV4sqGnDhlSikJ,0.635,0.312,7,-8.134,1,0.0265,0.0,0.138,0.414,98.017,240118,4,63.0,"M255 ""Monday Midnight Drive"""
2,Russ,There's Really A Wolf,Ride Slow,6HK4YGOpZr1ost68QP3ul0,0.737,0.429,4,-10.252,0,0.0785,0.0,0.104,0.147,99.955,185400,4,65.0,"M255 ""Monday Midnight Drive"""
