link,timestamp,campus,time,date,location,longitude,latitude,device,sound,recorder,purpose,volume,pitch,distractability,rowdiness,multiplicity,repetition,persistence
https://drive.google.com/file/d/1-fv-5rCjxy8SiOwADEvvynADRcvpjdlT/view?usp=sharing,12/21/2023 13:13:19,Haverford,12:26,12/21/23,Edge of Campus/College Ave,40.00887411,-75.31302934,Samsung Galaxy S10+,Cars of varying sizes driving by,Reed Solomon,Incidental; Mechanical; Transportation,8,4,4,2,5,8,8
https://drive.google.com/file/d/1-U4YEgPXgHJRaTXdGnk5i8FJ5V-iY81y/view?usp=sharing,12/21/2023 13:17:52,Haverford,12:49,12/21/23,Founder's Hall,40.00959676,-75.30763109,Samsung Galaxy S10+,"Leafblower across the lawn, source of sound by Hilles. After recording ended, pitch increased.",Reed Solomon,Incidental,6,4,7,2,1,3,10
https://drive.google.com/file/d/1-jYU1ZGd3yfwb_vQ7PqiBWdYeebS-5qf/view?usp=sharing,12/21/2023 13:22:41,Haverford,18:32,12/20/23,Dining Center,40.01035034,-75.30783106,Samsung Galaxy S10+,"Calm buzz of conversation, sounds of silverware, plates, etc. being used or placed on conveyor",Reed Solomon,Social; Incidental,7,5,4,2,10,2,7
https://drive.google.com/file/d/1-fuiLus_IG-TMbJZfSHQl6GWYfR-Czdf/view?usp=sharing,12/21/2023 13:27:52,Haverford,12:38,12/21/23,Ryan Pinetum,40.00837947,-75.31239737,Samsung Galaxy S10+,Wind blowing through leaves of meadow; dog collar clinking and sound of human footsteps on gravel surface of the nature trail; occasional driving of car in the background ,Reed Solomon,Incidental; Natural; Transportation,4,5,2,1,4,6,3
https://drive.google.com/file/d/1-fHN9IPdZk9GMHGg5DDsrvjTiYiq94SL/view?usp=sharing,12/21/2023 13:33:09,Haverford,12:39,12/21/23,Ryan Pinetum,40.00835007,-75.31250957,Samsung Galaxy S10+,Wind; bird calls in the trees in the pinetum; occasional car driving by,Reed Solomon,Natural; Transportation,3,8,3,1,4,8,3
https://drive.google.com/file/d/1-VuJclczSj7NTmz3LYww1OdGnz7YkHbS/view?usp=sharing,12/21/2023 13:38:34,Haverford,12:43,12/21/23,Narrow walking path near Swan Field,40.00797243,-75.31140582,Samsung Galaxy S10+,Me walking as I move from one sound environment to the next; path not fully cleared from fallen leaves,Reed Solomon,Incidental; Transportation,6,4,2,1,2,7,2
https://drive.google.com/file/d/1-QhSYHE7i2VoxZZLY_UVQNrKOS8VbHvu/view?usp=sharing,12/21/2023 13:45:08,Haverford,12:55,12/21/23,Dining Center,40.01028755,-75.30799928,Samsung Galaxy S10+,"Sounds of people scanning in, people eating, people conversing; specifically in the Sunken Lounge",Reed Solomon,Social; Incidental,7,4,3,2,8,1,2
https://drive.google.com/file/d/1-iCBB2lBE-DhFowW_HuFKQE_1b4swuSB/view?usp=sharing,12/21/2023 13:54:22,Haverford,12:14,12/21/23,Ramp in between Roberts and Jaharis,40.01060962,-75.30624847,Samsung Galaxy S10+,Constant buzz of HVAC unit outside Roberts Hall; can hear the repetitive spinning of some piece of machinery inside,Reed Solomon,Mechanical,7,2,4,1,1,7,9
https://drive.google.com/file/d/1-hGDgFcA0qAk3vIK43d34ARAbBCvdETt/view?usp=sharing,12/21/2023 15:47:04,Haverford,12:16,12/21/23,Exterior Barclay Hall,40.00997536,-75.30645454,Samsung Galaxy S10+,"Wind, leaves rustling in a tree across from Barclay; distant bird chirping; near the end of the recording, a facilities truck begins to drive up",Reed Solomon,Natural; incidental; transportation,4,3,2,1,3,2,7
https://drive.google.com/file/d/1-iUCnCsWCAptD93kNzRLnlsAzbkagmoo/view?usp=sharing,12/21/2023 15:52:30,Haverford,12:13,12/21/23,Jaharis Hall,40.01076592,-75.3060996,Samsung Galaxy S10+,"Except for the extremely brief conversation ending at the beginning of the recording, only the sound of the fan blowing inside Jaharis",Reed Solomon,Academic; Institutional; Social; Incidental,3,2,1,1,1,1,9
https://drive.google.com/file/d/10D40gY0V5p3eyXzMUmHCdFkhSX-tlb6c/view?usp=sharing,12/21/2023 17:09:51,Haverford,15:58,12/21/23,Hall Building,40.00877127,-75.30743993,Samsung Galaxy S10+,Birds chirping,Reed Solomon,Natural,3,8,4,3,7,6,5
https://drive.google.com/file/d/1-tjImPc562cFywF4i3VY8-aWi-wAhtRa/view?usp=sharing,12/21/2023 17:13:05,Haverford,16:00,12/21/23,Pathway Leading to Founder's Hall,40.00939142,-75.30710861,Samsung Galaxy S10+,"First, a distant church bell chiming; then, Founder's Hall bell ringing 4 times; wind",Reed Solomon,Institutional; Natural,9,7,2,1,2,4,3
https://drive.google.com/file/d/17-z_E9mwLSQ2_F_CchnvBmV6bCfO9jgN/view?usp=sharing,12/21/2023 17:16:19,Haverford,16:10,12/21/23,Outside Jaharis,40.01098293,-75.3061294,Tascam Linear PCM Recorder,Massive fan unit outside of Jaharis,Reed Solomon,Mechanical,6,2,2,1,1,2,10
https://drive.google.com/file/d/19dqb6Mi3frboozbDU78NXEIg2geKWg6H/view?usp=sharing,12/21/2023 17:18:50,Haverford,16:11,12/21/23,Path Behind Jaharis,40.01126785,-75.30516424,Tascam Linear PCM Recorder,Wind; squirrels occasionally frolicking in the leaves; the occasional bird call; distant sound of cars on nearby road ,Reed Solomon,Natural; Incidental; Transportation,2,2,2,1,3,2,2
https://drive.google.com/file/d/1b7HJLBYZOiCQEEF5TBjIECmWQ7nyaylw/view?usp=sharing,12/21/2023 17:20:48,Haverford,16:14,12/21/23,"Near Skate House, Walking down to Duck Pont",40.01082657,-75.30373429,Tascam Linear PCM Recorder,"Feet walking through mud, through dry grass; distant cars; distant church bell ringing",Reed Solomon,Incidental; Transportation,4,2,3,1,3,5,1
