ac,name
3472,"['instruments--string (violin family)' 'violin making' 'trees' 'nature'
 'relation to violin making' 'ecology' 'science' 'biology']"
3474,"['instruments--string (violin family)' 'violin making' 'Pernambuco'
 'preservation' 'nature' 'trees' 'ecology' 'relation to violin making']"
3519,"['ecology' 'sound ecology' 'universals' 'community'
 'concept of sound community' 'sociology']"
3609,"['ecology' 'acoustic ecology' 'listening'
 'congresses, conferences, symposia' 'Greece' 'Kerkyra' '2011']"
3820,"['mass media' 'radio' 'United States of America' 'KPFM'
 'World Ear Project' 'relation to acoustic ecology' 'foundations'
 'California' 'Los Angeles' 'Pacifica Foundation' 'Amirkhanian, Charles'
 'life' 'founding of World Ear Project' 'Friedman, Richard' 'Ferrari, Luc'
 'works' 'influence on World Ear Project'
 'sound recording and reproduction' 'field recording'
 'basis of World Ear Project' 'soundscape' 'soundscape recordings'
 'activism and advocacy' 'relation to World Ear Project' 'ecology'
 'acoustic ecology' 'Schafer, R. Murray' 'concept of acoustic ecology'
 'compared with World Ear Project' 'sound studies']"
3887,['ecology' 'acoustic ecology' 'soundwalking' 'sound art' 'soundwalks']
3888,"['ecology' 'acoustic ecology' 'field recording' 'sound art'
 'sound recording and reproduction']"
3889,"['ecology' 'acoustic ecology' 'schizophonia' 'Schafer, R. Murray'
 'writings']"
3893,"['ecology' 'acoustic ecology' 'soundscape' 'soundscape studies'
 'sound studies' 'sound studies as discipline']"
3917,"['China' 'culture' 'music culture' 'cultural ecology' 'cultural studies'
 'ecology']"
3932,"['ecology' 'ecomusicology' 'periodicals'
 '<Journal of the American Musicological Society>, LXIV/2' 'musicology'
 'publications']"
3935,['ecology' 'ecomusicology' 'place' 'musicology' 'musicology as discipline']
3936,['musicology' 'musicology as discipline' 'ecomusicology' 'ecology']
3937,"['musicology' 'musicology as discipline' 'ecomusicology' 'ecology'
 'ecological crisis' 'relation to musical culture'
 'instruments--string (violin family)' 'violin family, making' 'wood'
 'sustainability' 'nature' 'trees' 'spruce wood' 'pernambuco wood']"
3992,"['ecology' 'acoustic ecology' 'listening' 'soundscape' 'terminology'
 '""soundscape""']"
4051,"['spectral music' 'aesthetics' 'fuzzy properties' 'mathematics'
 'relation to spectral music' 'ecology']"
4129,"['pedagogy--general' 'general education' 'elementary school'
 'interdisciplinary learning' 'birdsong curriculum'
 'inquiry-based learning' 'ecology' 'ecological education' 'animals'
 'birds' 'birdsong' 'interdisciplinarity']"
4203,"['Paine, Garth' 'works' '<Future perfect>' 'ecology' 'acoustic ecology'
 'sound recordings--general' 'field recordings' 'US deserts'
 'use in composition' 'academic institutions' 'France' 'Paris'
 'Institut de Recherche et Coordination Acoustique/Musique (IRCAM)'
 'activities of Garth Paine' '2018' 'cultural organizations' 'Germany'
 'Karlsruhe' 'Zentrum für Kunst und Medien Karlsruhe']"
4388,"['Spain' 'Mar Menor' 'history' 'ecosystem'
 'viewed by high school students' 'animals' 'fish' 'relation to sound art'
 'visual and plastic arts' 'influence on relation with ecosystem'
 'ecology' 'ecological crisis' 'sound art' 'on ecosystems' 'children'
 'high school students' 'portrayed in sound art']"
4449,"['ecology' 'acoustic ecology' 'pedagogy' 'pedagogy--general'
 'music education']"
4472,"['Schafer, R. Murray' 'life' 'World Soundscape Project' 'soundscape'
 'soundscape studies' 'academic institutions' 'Canada' 'British Columbia'
 'Burnaby' 'Simon Fraser University' 'Truax, Barry'
 'Westerkamp, Hildegard'
 'societies, associations, fraternities, etc.--international'
 ""World Forum for Acoustic Ecology/Forum Mondial pour l'Ecologie Sonore""
 'congresses, conferences, symposia' 'Alberta' 'Banff' 'acoustic ecology'
 '1993' 'ecology' 'conferences' 'Japan' 'culture' 'soundscapes' 'Europe'
 'Vancouver']"
